"Victorian Biodiversity Atlas, Species Summary List - Bats"
(Date: 07/04/2026 11:00 PM)
Selected Area
Type: Parks & Reserves   Name: Langwarrin FFR


Common Filter
Taxon Type:,Bats
Advanced Filter
No advanced filter criteria.
Total Records
6
Last Review Date:19 Dec 2025

Search Result
Taxon ID,Scientific Name,Common Name,FFG Status,Conservation Status,Discipline,Taxon Origin,Short Name,Count of Sightings,Last Record
11335,Nyctophilus geoffroyi,Lesser Long-eared Bat, ,       ,Terrestrial fauna, , ,6,11/02/1988
11349,Chalinolobus gouldii,Gould's Wattled Bat, ,       ,Terrestrial fauna, , ,5,11/02/1988
11351,Chalinolobus morio,Chocolate Wattled Bat, ,       ,Terrestrial fauna, , ,3,11/02/1988
11378,Vespadelus regulus,Southern Forest Bat, ,       ,Terrestrial fauna, , ,1,10/02/1988
11379,Vespadelus vulturnus,Little Forest Bat, ,       ,Terrestrial fauna, , ,6,11/02/1988
11381,Vespadelus darlingtoni,Large Forest Bat, ,       ,Terrestrial fauna, , ,2,11/02/1988
"Copyright and Disclaimer 
 Copyright ï¿½ State of Victoria. Copyright resides with the State of Victoria or other data providers as indicated. 
 This page and all its components (including images, audio, video, text) is copyright. 

 Apart from the purposes listed in the Use of Information clause (in the Website terms and conditions of use) and from fair dealing for the purposes of private study, research, criticism or review as permitted under the Copyright Act 1968, no part may be reproduced, copied, transmitted in any form or by any means (electronic, mechanical or graphic) without the prior written permission of the State of Victoria. All requests and enquiries should be directed to the VBA adminstrator, email vba.help@dse.vic.gov.au. 

 This material may be of assistance to you but the State of Victoria and its employees do not guarantee the accuracy or authenticity of the data or that the data is appropriate for your particular purposes and therefore disclaim all liability for any error, loss or consequences which may arise from your use of or reliance on any information contained in this material."
